,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country
432,Neiafu,-18.65,-173.98,84.2,79,20,5.82,TO
433,Laas,46.62,10.7,39.2,45,5,2.04,IT
434,Matagami,49.75,-77.63,15.8,56,1,2.24,CA
435,Rawson,-43.3,-65.1,61.18,70,97,11.79,AR
436,Zaranj,30.97,61.88,79.2,34,0,1.19,AF
437,Taunsa,30.7,70.65,85.8,29,37,3.94,PK
438,Chapais,49.78,-74.85,21.2,41,1,6.93,CA
439,Copiapó,-27.37,-70.33,59.0,77,40,2.24,CL
440,Askiz,53.13,90.53,72.0,22,100,5.79,RU
441,Bilibino,68.05,166.44,31.15,83,0,1.39,RU
442,Pestovo,58.59,35.8,29.66,85,99,3.36,RU
443,Amahai,-3.33,128.92,87.57,63,13,3.87,ID
444,Fukuechō,32.69,128.84,55.4,47,40,12.75,JP
445,Campoverde,-8.48,-74.81,76.51,72,3,2.13,PE
446,Airai,-8.93,125.41,71.58,49,87,4.99,TL
447,Brigantine,39.41,-74.36,47.08,87,90,5.82,US
448,Diego de Almagro,-26.37,-70.05,52.93,52,1,0.25,CL
449,Nishihara,26.18,127.76,63.82,63,90,5.82,JP
450,Pisco,-13.7,-76.22,69.46,77,0,13.87,PE
451,Miraflores,19.22,-98.81,71.29,35,40,4.7,MX
452,Mildura,-34.2,142.15,62.6,77,75,6.93,AU
453,Oodweyne,9.41,45.06,72.75,55,16,6.87,SO
454,Westport,41.14,-73.36,43.52,49,90,3.36,US
455,Portland,45.52,-122.68,59.18,51,75,5.82,US
456,Khovd,48.01,91.64,57.11,18,0,2.57,MN
457,Capão da Canoa,-29.75,-50.01,67.39,85,6,13.29,BR
458,Sombrio,-29.11,-49.62,65.41,87,41,4.54,BR
459,Dibulla,11.27,-73.31,81.34,64,70,9.4,CO
460,Aswān,24.09,32.91,74.37,18,0,8.1,EG
461,Erdenet,49.03,104.08,59.83,18,35,10.16,MN
462,Mnogovershinnyy,53.94,139.92,28.02,94,100,15.19,RU
463,Pirenópolis,-15.85,-48.96,68.0,88,40,8.05,BR
464,Chatham,51.38,0.53,45.99,80,98,4.92,GB
465,Kumul,42.8,93.45,68.07,11,0,7.07,CN
466,San-Pédro,4.75,-6.64,78.94,85,100,4.83,CI
467,Yagodnoye,62.55,149.67,24.15,88,99,3.24,RU
468,Elizabeth City,36.29,-76.25,66.65,72,90,10.29,US
469,Orlik,52.52,99.83,54.34,22,1,4.43,RU
470,Khalkhāl,37.62,48.53,38.52,50,100,8.5,IR
471,Bariloche,-41.15,-71.31,51.8,62,75,12.75,AR
472,Faanui,-16.48,-151.75,80.74,70,8,16.15,PF
473,Poya,-21.35,165.15,79.41,64,15,10.27,NC
474,Lewistown,40.6,-77.57,47.03,93,90,5.82,US
475,Athabasca,54.72,-113.29,44.89,62,77,3.71,CA
476,Edgewater,28.99,-80.9,77.94,73,20,9.17,US
477,Turaif,31.67,38.66,57.2,71,41,6.93,SA
478,Evanston,42.04,-87.69,42.62,81,90,12.75,US
479,Tupik,54.43,119.93,41.59,51,89,11.54,RU
480,San Cristobal,7.77,-72.22,84.2,70,40,4.7,VE
481,Wynyard,-41.0,145.72,55.67,7,100,14.0,AU
482,Pinega,64.7,43.39,21.94,95,78,8.23,RU
483,Husavik,66.04,-17.34,35.6,75,46,11.41,IS
484,Kavieng,-2.57,150.8,84.34,68,58,2.91,PG
485,Los Llanos de Aridane,28.66,-17.92,62.6,77,90,10.29,ES
486,Port Said,31.26,32.28,64.4,77,68,6.93,EG
487,Hakkâri Province,37.58,44.17,42.13,45,87,5.17,TR
488,Smolenka,52.14,113.5,44.6,26,20,13.42,RU
489,Dauriya,49.93,116.87,46.15,39,60,23.96,RU
490,Toccoa,34.58,-83.33,57.47,93,90,3.36,US
491,Danielskuil,-28.19,23.54,60.01,35,9,6.38,ZA
492,Polyarny,69.2,33.45,24.8,92,75,8.95,RU
493,Issoire,45.55,3.25,51.8,93,27,2.24,FR
494,Ulladulla,-35.35,150.47,74.07,33,0,12.75,AU
495,Warmbad,-28.45,18.73,64.44,60,98,5.03,NA
496,Cidreira,-30.18,-50.21,68.59,83,0,16.24,BR
497,General Roca,-39.03,-67.58,57.2,87,40,3.36,AR
498,Zaoyang,32.13,112.75,69.1,25,73,6.24,CN
499,Taiobeiras,-15.81,-42.23,63.16,73,100,2.35,BR
500,Oeiras,-7.03,-42.13,73.17,84,75,2.21,BR
501,Nome,64.5,-165.41,34.93,64,1,18.34,US
502,Rosamorada,22.12,-105.21,68.0,72,1,1.28,MX
503,Ayan,56.45,138.17,30.18,97,100,19.93,RU
504,Kruisfontein,-34.0,24.73,58.17,79,100,1.41,ZA
505,Bengkulu,-3.8,102.27,87.22,62,98,1.28,ID
506,Kathmandu,27.72,85.32,59.0,93,40,2.42,NP
507,Guiyang,26.58,106.72,48.2,87,90,6.71,CN
508,Benguela,-12.58,13.41,76.91,84,0,2.55,AO
509,Chengde,40.97,117.94,63.64,22,0,17.72,CN
510,Heihe,50.24,127.49,33.8,50,30,4.47,CN
511,Majagual,8.54,-74.62,77.43,92,59,3.4,CO
512,San Rafael,-34.62,-68.33,68.5,41,0,4.16,AR
513,Oga,46.46,10.35,35.4,92,0,2.24,IT
514,Goderich,43.75,-81.72,40.53,47,100,10.27,CA
515,Kloulklubed,7.04,134.26,86.0,70,75,11.41,PW
516,Orán,-23.13,-64.33,78.01,89,50,2.95,AR
517,Manta,-0.95,-80.73,78.8,78,40,8.05,EC
518,Cap Malheureux,-19.98,57.61,75.0,87,14,8.99,MU
519,Forsytheganj,52.63,29.73,40.33,85,36,7.76,BY
520,Peniche,39.36,-9.38,55.58,87,95,4.0,PT
521,Puerto Peñasco,31.32,-113.53,75.99,78,0,1.99,MX
522,Lac du Bonnet,50.25,-96.06,50.0,49,22,6.13,CA
523,Yangi Marg`ilon,40.43,71.72,60.8,51,83,1.63,UZ
524,Kasongo-Lunda,-6.47,16.82,71.02,78,97,1.61,CD
525,Tomatlán,19.93,-105.25,70.95,71,67,5.48,MX
526,Kyra,49.58,111.98,47.66,29,18,19.89,RU
527,Semnan,35.57,53.4,63.59,36,29,1.41,IR
528,Zhireken,52.82,117.31,43.38,44,100,13.44,RU
529,Gerāsh,27.67,54.14,60.8,77,0,2.44,IR
530,Bairiki Village,1.33,172.98,86.0,84,20,14.99,KI
531,Şebinkarahisar,40.29,38.42,25.48,61,49,1.95,TR
532,Garoowe,8.41,48.48,78.53,65,5,10.58,SO
533,Magadan,59.57,150.8,33.21,88,100,19.37,RU
534,Zhangaözen,43.3,52.8,46.78,57,99,6.35,KZ
535,Vanino,49.09,140.25,36.23,75,54,7.65,RU
536,Puerto del Rosario,28.5,-13.86,64.4,77,20,10.29,ES
537,Guymon,36.68,-101.48,66.25,32,1,6.93,US
538,Nizhniy Odes,63.64,54.86,23.23,94,100,5.57,RU
